"SRR975551"	"SRR975552"	"SRR975553"	"SRR975554"	"SRR975555"	"SRR975556"	"SRR975557"	"SRR975558"	"SRR975559"	"SRR975560"	"SRR975561"	"SRR975562"	"SRR975563"	"SRR975564"	"SRR975565"	"SRR975566"	"SRR975567"	"SRR975568"	"SRR975569"	"SRR975570"	"SRR975571"	"SRR975572"	"SRR975573"	"SRR975574"	"SRR975575"	"SRR975576"	"SRR975577"	"SRR975578"	"SRR975579"	"SRR975580"	"SRR975581"	"SRR975582"	"SRR975583"	"SRR975584"	"SRR975585"	"SRR975586"	"SRR975587"	"SRR975588"	"SRR975589"	"SRR975590"	"SRR975591"	"SRR975592"	"SRR975593"	"SRR975594"	"SRR975595"	"SRR975596"	"SRR975597"	"SRR975598"	"SRR975599"	"SRR975600"	"SRR975601"	"SRR975602"	"SRR975603"	"SRR975604"
"SRR975561"	0.964928928868086	0.966579322964115	0.981846529517992	0.960955171090183	0.965440227636338	0.979019351989878	0.948398651305209	0.978803622620007	0.970189424963539	0.983256534334915	1	0.966298903019516	0.986366021702504	0.962118503280857	0.962059988611382	0.961343134116684	0.984093762050397	0.966255068088597	0.98210020138833	0.981913840448877	0.982942992754541	0.983986957871224	0.981462974590771	0.981033596877482	0.984380592356893	0.983681235206796	0.983728830769533	0.980916378888928	0.975799937628695	0.982913700477224	0.985768500576993	0.983895789545881	0.985196989804237	0.981550433071967	0.985549384902351	0.984304813843109	0.945973953786753	0.983087902815913	0.956672600956376	0.950127779830844	0.955629612545725	0.947770896942889	0.959153599994038	0.918065550811308	0.9544882779234	0.965708977300103	0.960186818066298	0.952051390924286	0.957733148416298	0.956375667087928	0.946515309044051	0.946353917748318	0.953281999436662	0.954568947926268
"SRR975562"	0.975025638736621	0.97211966350344	0.959364273683531	0.975964902730319	0.974982551219932	0.96392856479102	0.93060151574433	0.972868071981779	0.98087176698063	0.976695608151197	0.966298903019516	1	0.961569075279136	0.971214695822126	0.973445535133777	0.972732675296794	0.97639712877803	0.971932385432819	0.956281077503945	0.957964004187969	0.960267612254122	0.958339451764614	0.956437369783225	0.959597853781694	0.95899954983462	0.961404079297253	0.959992502177987	0.958647565092401	0.943232138094637	0.977866659854758	0.959798241804366	0.960458032240323	0.95959050119863	0.958026281689145	0.96025163796911	0.965959743478664	0.952884836293046	0.959487671042913	0.96738977394573	0.962900535851952	0.954782234269416	0.960676231942532	0.972126988708842	0.911922493297549	0.96868609811077	0.982260541826903	0.969266955572341	0.976222551506614	0.967653254771144	0.95682893377391	0.949171428264607	0.969379890487077	0.960000324613701	0.958840116216646
"SRR975563"	0.966407051955343	0.967862391665491	0.984919867468515	0.959297172726435	0.967419992664199	0.986635119236357	0.933499957223556	0.97971499004964	0.96281522997325	0.981492587923145	0.986366021702504	0.961569075279136	1	0.961394692471893	0.963902054446834	0.959046052465687	0.981620059231853	0.969010530716592	0.989858347300887	0.988765640104991	0.986073997619612	0.991527678691598	0.986728392008134	0.987234748500383	0.990782932793062	0.989232533087517	0.987751978028675	0.984973488186911	0.960803410662939	0.982919933285309	0.99185566696705	0.988559886293958	0.991613937974584	0.986390230098317	0.991837143742931	0.985285787471722	0.945030491366379	0.990651611333481	0.953942306024441	0.950528865339924	0.952832041198458	0.945147114290901	0.955832311734172	0.916496209415083	0.953763361813054	0.959818074417923	0.957395555695557	0.951546319597902	0.955671221367149	0.956175844278887	0.947245091500353	0.946067768403349	0.949521730311193	0.951689961052932
"SRR975564"	0.970079116445052	0.971383263405438	0.961009608843616	0.972527855253444	0.975958945826044	0.965474269549346	0.928133513331659	0.975151207612114	0.972697107092493	0.970122442082292	0.962118503280857	0.971214695822126	0.961394692471893	1	0.969851344131843	0.970528329004738	0.973445286741456	0.977750812304966	0.958466996810717	0.959169296796087	0.961846705895825	0.95916339742434	0.958121575199564	0.962975896627357	0.960709877313418	0.959348315872356	0.960603635122372	0.957817792155916	0.935230625105149	0.967793381267318	0.959620812527214	0.964188753337737	0.961051685151574	0.962176629636411	0.960896619871708	0.966064389619911	0.950467281102388	0.961523268965578	0.969319263446528	0.955567313522739	0.95427214767571	0.962973966491185	0.96665151877336	0.913831605630982	0.960042604395649	0.971521624182493	0.966905434314099	0.960037034028908	0.959260274821808	0.971517512995089	0.94705535600414	0.963216925090041	0.958275234381347	0.958426506695511
"SRR975565"	0.97646721649707	0.972198786225805	0.962094030040303	0.973702034255987	0.973974105530668	0.967624296355254	0.925968543291308	0.971368674220315	0.97235874504086	0.969872266562576	0.962059988611382	0.973445535133777	0.963902054446834	0.969851344131843	1	0.971307038769561	0.97296144999364	0.975490639177264	0.96231321897187	0.962140128468972	0.963089829616576	0.962130418221593	0.959785302009429	0.962270816479798	0.962217502360716	0.962926148110993	0.960841026809236	0.957221634829217	0.937199347217046	0.9677683056421	0.960527465425752	0.962666539235552	0.963387906627695	0.961126767289472	0.962079302691314	0.964919971866706	0.955478654219038	0.964880447218774	0.964007817386696	0.963325996068667	0.951754783668608	0.959814612849148	0.968394649946006	0.914983862435241	0.965449351128408	0.96968892039266	0.966545073003348	0.964619036603879	0.962635822606767	0.958554317215304	0.960830882288648	0.967807098945238	0.957311545682789	0.956179424967301
"SRR975566"	0.974705275460978	0.971031967161964	0.961533438317553	0.974748537233368	0.969739089422007	0.959824225240609	0.941341883963809	0.969152912968561	0.97901092033198	0.967487507108409	0.961343134116684	0.972732675296794	0.959046052465687	0.970528329004738	0.971307038769561	1	0.975228720785753	0.973725680624718	0.958517903733847	0.956958657303643	0.962412170412967	0.958604150695886	0.957595610030159	0.961146328791491	0.957885306221422	0.957873370832029	0.960333062053353	0.955734217815402	0.940072409212318	0.964757193459203	0.959255488207732	0.962125557473766	0.958430647534576	0.961912952117057	0.958808040198724	0.959502205062204	0.95519893196716	0.9600225596002	0.966493260570202	0.964466715245617	0.961769010564451	0.965161174104995	0.96982609723966	0.917895295932177	0.961275937447828	0.974448669951809	0.966001154045723	0.957123694617851	0.961909559022165	0.965101308485876	0.950108239466284	0.975149960565172	0.962217660899954	0.957859464981931
"SRR975567"	0.975470794644198	0.976681622006392	0.979254821835619	0.974283931380915	0.975265475929396	0.978677969214331	0.949305979114234	0.985118770676802	0.980728124299996	0.983852550594562	0.984093762050397	0.97639712877803	0.981620059231853	0.973445286741456	0.97296144999364	0.975228720785753	1	0.977249992722564	0.978877512519855	0.977770184918592	0.98022415539025	0.979965266433448	0.976967500668601	0.978921530530063	0.979970842877855	0.979611841913118	0.979560288225152	0.975157758127467	0.963389048862506	0.980938281731155	0.980953022071876	0.980630613802485	0.980389314149693	0.978911137236476	0.981934886867428	0.979922643929651	0.954043746387413	0.980159329858094	0.969948709163237	0.960988160699889	0.963674987370656	0.960429904130661	0.971664357953	0.919437322439347	0.962363466981046	0.976031348891201	0.966523335771295	0.959571883945894	0.964433444744374	0.965867555148256	0.95200605483783	0.959896527455723	0.966764991303613	0.961207313870531
"SRR975568"	0.974936222895664	0.972995250709545	0.968671225609491	0.976424473612993	0.981829226957082	0.971277346937244	0.927129017953789	0.977542694121205	0.973760621266358	0.972118410445735	0.966255068088597	0.971932385432819	0.969010530716592	0.977750812304966	0.975490639177264	0.973725680624718	0.977249992722564	1	0.966795764180044	0.96532528439849	0.969604714577893	0.96812168784042	0.965777852967014	0.969513089922119	0.967813510766973	0.966602143095917	0.96702404092472	0.962699176545132	0.93684682195722	0.972181134136167	0.966807984386574	0.968847729101316	0.967197953041162	0.967412147132872	0.966895465248029	0.969078992097654	0.954331252031919	0.967705782483563	0.970618926052734	0.962210777585277	0.960332937712136	0.964683960244984	0.97016658297944	0.915396817438857	0.964604583972202	0.970952564638262	0.968352056849137	0.962812744734078	0.965527172314089	0.968692814763421	0.952454418182411	0.964865912293352	0.960522213040165	0.967756727151052
"SRR975569"	0.967745830984758	0.967418192083528	0.987288471948302	0.958443905186604	0.965351601502596	0.982395932455006	0.934395418761769	0.976482771803721	0.959357991120561	0.976097340380756	0.98210020138833	0.956281077503945	0.989858347300887	0.958466996810717	0.96231321897187	0.958517903733847	0.978877512519855	0.966795764180044	1	0.990444035717602	0.988150020369892	0.991323176226863	0.989259169836972	0.987577848381506	0.990014596257782	0.988000521959601	0.988044675388507	0.98278194511181	0.958155269710632	0.979190447083697	0.987890670882209	0.988710168123766	0.990793790435976	0.988698594422518	0.990466568285369	0.980082591355765	0.949000757675653	0.992839201283237	0.954481920404033	0.953839407542086	0.955523743728509	0.945793421951063	0.955837332102815	0.919634053203935	0.95337070700402	0.954761333043143	0.956456507719815	0.948993026619628	0.951909833121102	0.957377383756405	0.949289658288558	0.943616930669168	0.950663484736747	0.951637539814391
"SRR975570"	0.96606754980515	0.96814315589071	0.985446435479236	0.956884764440519	0.966020637613578	0.983015822383112	0.930678100298112	0.975100436841954	0.95940549499538	0.977543250525665	0.981913840448877	0.957964004187969	0.988765640104991	0.959169296796087	0.962140128468972	0.956958657303643	0.977770184918592	0.96532528439849	0.990444035717602	1	0.986295254302604	0.989135463947154	0.988245548171858	0.986440515074759	0.988983361973902	0.988068985761619	0.98670921139345	0.983765902519355	0.958245788028371	0.980748300697273	0.986751739759292	0.988112752730113	0.989941368745195	0.986829101570597	0.989768747400281	0.98162551261709	0.944687310094807	0.993587423179627	0.95144269758495	0.949276844893107	0.949358746536266	0.943589435160939	0.95320297282232	0.914313683272549	0.952045076594242	0.955758931909915	0.955213119769376	0.949404946441806	0.951503732810977	0.952682639121051	0.94541219968599	0.945774998437057	0.946188041473548	0.948044985454143
